                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                             total_energy           total_energy_sources_and_sinks       total_energy_and_integrated_fluxes                                    tot_E                                log_tot_E                        v_div_csound_surf                              num_retries                              num_backups                             elapsed_time 
                                       2                  3.4369332366807200E-007                  1.4000000000002661E+000                 -6.8160114221751176E+000                  2.2102478549196253E+001                 -8.5228787452803374E+000                                      875                  1.3999999999999999E+000                  9.5817170207234481E-001                  7.0531713259880391E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5817170207234481E-001                  7.0531713259880391E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005295E+033                  2.7848800000005295E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                 -4.3170826082312352E-001                 -2.0823299587095178E+001                 -2.2464886864711424E+000                 -4.2510591104465456E-001                  6.1361440479744491E+000                  8.1653548540476029E-001                 -8.8024936731846165E-002                 -4.7930417278621951E+000                  1.4270091457772244E+001                  1.8624793135878056E+014                  8.1305005530780292E+000                  6.6103011068511837E+000                  2.3175447144033740E+001                  2.4199201343358858E+000                  4.0594781261121765E-001                  1.3719367683796824E+002                  3.4453511743938905E-003                  9.3458283878204759E-003                  1.8922848754293410E-013                  7.1613147377771861E-014                 -5.3616843962783580E+000                 -4.3171336364874247E-001                 -2.0823299587095178E+001                 -2.1004050213902755E+042                  6.8966118522542144E+034                 -2.1004049524241568E+042                 -2.1004050213902755E+042                  4.2322303047874151E+001                  8.9938909474109449E-011                                        0                                        0                  1.7318999999999999E+001 
                                       4                  1.2602088534495973E-006                  1.4000000000002688E+000                 -6.2139514308471551E+000                  2.2102666114070310E+001                 -8.5228787452803374E+000                                      795                  1.3999999999984878E+000                  7.1949927651230516E-001                  1.4100251660820184E-005                  9.5775797231354487E-001                  7.9801507935619520E-001                  7.1949927651230516E-001                  1.4100251660820184E-005                  9.5775797231354487E-001                  7.9801507935619520E-001                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005346E+033                  2.7848800000005346E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                 -3.3223079564456615E-001                 -2.0414194957172345E+001                 -2.9732651031656707E+000                 -3.3123938357114319E-001                  6.1497986222335328E+000                  9.2597059083660627E-001                 -3.3402806450033913E-002                 -4.7930398112394554E+000                  1.4270087064084587E+001                  1.8624604712784472E+014                  8.1399702331148234E+000                  6.6103047639097792E+000                  2.3175633013058864E+001                  2.4199201343186321E+000                  4.0594781261230029E-001                  1.3719367680288823E+002                  3.4453511743938901E-003                  9.3458283878204724E-003                  1.9116152387031699E-013                  7.2374371684716751E-014                 -5.2429783322795096E+000                 -3.3223612947790493E-001                 -2.0414194957172345E+001                 -2.1013115110936720E+042                  2.7447338348629351E+035                 -2.1013110305753315E+042                 -2.1013115110936720E+042                  4.2322490439612338E+001                  9.3600510917700724E-012                                        0                                        0                  4.6817999999999998E+001 
                                       6                  4.0039996831196925E-006                  1.4000000000002772E+000                 -5.8176509465960971E+000                  2.2103227147004258E+001                 -8.5228787452803374E+000                                      791                  1.3999999999979447E+000                  6.2872922962013067E-001                  3.5205120869630235E-006                  9.5652151441201871E-001                  8.8805285723208838E-001                  6.2872922962013067E-001                  3.5205120869630235E-006                  9.5652151441201871E-001                  8.8805285723208838E-001                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005514E+033                  2.7848800000005514E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  8.7589583813979910E-002                 -1.8862378358619480E+001                 -2.9628744981667983E+000                  8.7976063769958993E-002                  6.1752310304219842E+000                  1.1704075997195926E+000                  6.8337133098087949E-002                 -4.7930346578422975E+000                  1.4270075250398058E+001                  1.8624098092833216E+014                  8.1651556112264174E+000                  6.6103412531586470E+000                  2.3176195624930006E+001                  2.4199201343186312E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938923E-003                  9.3458283878204811E-003                  1.9693232146837962E-013                  7.4663519605098974E-014                 -5.0553357798353193E+000                  8.7586458738508122E-002                 -1.8862378358619480E+001                 -2.1040251906657936E+042                  7.7837766734369843E+035                 -2.1040233664230777E+042                 -2.1040251906657936E+042                  4.2323050935149787E+001                  3.9501900648666213E-012                                        0                                        0                  7.6370000000000005E+001 
                                       8                  6.3439139226049126E-006                  1.4000000000002841E+000                 -5.9687352982748756E+000                  2.2103705025896762E+001                 -8.5228787452803374E+000                                      790                  1.3999999999968911E+000                  4.6368097144863141E-001                  7.0332807962092403E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6368097144863141E-001                  7.0332807962092403E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005652E+033                  2.7848800000005652E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  6.7597666349201502E-001                 -1.5547672176387957E+001                 -1.9714993984780047E+000                  6.7695349518551484E-001                  6.2141297746752162E+000                  1.6747424037443164E+000                  2.2394801660530350E-001                 -4.7930267045951558E+000                  1.4270057018369913E+001                  1.8623316254777594E+014                  8.1851468874326887E+000                  6.6103746651648185E+000                  2.3176671834328033E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288508E+002                  3.4453511743938923E-003                  9.3458283878204828E-003                  2.0178685662684279E-013                  7.6654972285990093E-014                 -4.9577553880747107E+000                  6.7597565411650273E-001                 -1.5547672176387957E+001                 -2.1063388811543432E+042                  9.4369729536641767E+035                 -2.1063353097791314E+042                 -2.1063388811543432E+042                  4.2323528244520666E+001                  6.4961468647294110E-012                                        0                                        0                  1.0623000000000000E+002 
                                      10                  7.8914015800115109E-006                  1.4000000000002888E+000                 -6.1625553242909890E+000                  2.2104020779487580E+001                 -8.5228787452803374E+000                                      773                  1.3999999999957344E+000                  2.8270475695614228E-001                  1.4056338222268039E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8270475695614228E-001                  1.4056338222268039E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005744E+033                  2.7848800000005744E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  8.7091344909040358E-001                 -1.2644509604505851E+001                 -7.3708614342890189E-001                  8.8149340846153224E-001                  6.2709448967124395E+000                  2.8263695486016798E+000                  4.5122894534898722E-001                 -4.7930164842977581E+000                  1.4270033589453599E+001                  1.8622311608466825E+014                  8.1970934974011076E+000                  6.6104031591549326E+000                  2.3176985398059983E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938905E-003                  9.3458283878204741E-003                  2.0492105119356119E-013                  7.8028611064773407E-014                 -5.0464328123006181E+000                  8.7091292375301299E-001                 -1.2644509604505851E+001                 -2.1078685677410094E+042                  7.4663052914415306E+035                 -2.1078633440766419E+042                 -2.1078685677410094E+042                  4.2323843527752864E+001                  1.1624485639078433E-011                                        0                                        0                  1.3363700000000000E+002 
                                      12                  8.8817936807517360E-006                  1.4000000000002917E+000                 -6.3563753503071014E+000                  2.2104222741374688E+001                 -8.5228787452803374E+000                                      773                  1.3999999999949158E+000                  1.5769834735076171E-001                  3.5124507659078930E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5769834735076171E-001                  3.5124507659078930E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005802E+033                  2.7848800000005802E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  9.1528882574637638E-001                 -1.1314569530412173E+001                 -4.9946601376635957E-001                  9.3168733680145666E-001                  6.3138810013696016E+000                  4.1974792417310818E+000                  6.2298855704976785E-001                 -4.7930088877616939E+000                  1.4270016175295979E+001                  1.8621564913812528E+014                  8.2039469663561047E+000                  6.6104319356295225E+000                  2.3177190096409088E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938897E-003                  9.3458283878204724E-003                  2.0690291155201055E-013                  7.8939865493191150E-014                 -5.1680715573106131E+000                  9.1528846730007174E-001                 -1.1314569530412173E+001                 -2.1088475480213024E+042                  4.5480572536923171E+035                 -2.1088412855406657E+042                 -2.1088475480213024E+042                  4.2324045185028140E+001                  6.2590914601831913E-012                                        0                                        0                  1.6074100000000001E+002 
                                      14                  9.5269654049030683E-006                  1.4000000000002937E+000                 -6.5330844904922643E+000                  2.2104354255027975E+001                 -8.5228787452803374E+000                                      773                  1.3999999999942265E+000                  5.0913762094046633E-002                  7.0227745623263615E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0913762094046633E-002                  7.0227745623263615E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005842E+033                  2.7848800000005842E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  9.4651410607613595E-001                 -1.0582703998328077E+001                 -3.3732190554287467E-001                  9.6853778790607925E-001                  6.3384764912200202E+000                  5.2647754621687213E+000                  7.2137985365625412E-001                 -4.7930042191592870E+000                  1.4270005473109423E+001                  1.8621106033917762E+014                  8.2080091140451970E+000                  6.6104533616030867E+000                  2.3177320164720815E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938923E-003                  9.3458283878204828E-003                  2.0818646353867427E-013                  7.9547128218662725E-014                 -5.2592967234430850E+000                  9.4651383569672543E-001                 -1.0582703998328077E+001                 -2.1094852960484336E+042                  2.9209365604575630E+035                 -2.1094783854433150E+042                 -2.1094852960484336E+042                  4.2324176502523166E+001                  1.4556995818616210E-011                                        0                                        0                  1.8741000000000000E+002 
                                      16                  1.0238154550335711E-005                  1.4000000000002959E+000                 -6.3634396499286678E+000                  2.2104499179730215E+001                 -8.5228787452803374E+000                                      770                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005883E+033                  2.7848800000005883E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  9.7850316998824638E-001                 -9.8796789927933837E+000                 -1.3375213295175034E-001                  1.0108086461539880E+000                  6.3608388787092576E+000                  6.4690225255423739E+000                  8.1083866338375965E-001                 -4.7929995892740083E+000                  1.4269994859700002E+001                  1.8620650971706447E+014                  8.2121563028509978E+000                  6.6104807186337835E+000                  2.3177462915201250E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938918E-003                  9.3458283878204811E-003                  2.0959485972152433E-013                  8.0229470001866719E-014                 -5.3552851609013850E+000                  9.7850296861763852E-001                 -9.8796789927933837E+000                 -2.1101883147982582E+042                  4.1944110379204992E+035                 -2.1101807107267923E+042                 -2.1101883147982582E+042                  4.2324321213794562E+001                  1.3882519403221932E-011                                        0                                        0                  2.1431100000000001E+002 
                                      18                  1.1254001413133847E-005                  1.4000000000002990E+000                 -6.3453542743902061E+000                  2.2104706103134497E+001                 -8.5228787452803374E+000                                      769                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7848799999999997E+033                  2.7848799999999997E+033                  2.7848800000005946E+033                  2.7848800000005946E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999999999999999E+000                  1.3999999999999999E+000                  1.0106368032793072E+000                 -9.0668836720159174E+000                  8.6249091553930193E-002                  1.0594738374911417E+000                  6.3873880503772664E+000                  8.2612776640066681E+000                  9.1704721917478871E-001                 -4.7929936547145111E+000                  1.4269981255528181E+001                  1.8620067693359009E+014                  8.2178609994020793E+000                  6.6105246936348525E+000                  2.3177671673687946E+001                  2.4199201343186307E+000                  4.0594781261230034E-001                  1.3719367680288511E+002                  3.4453511743938905E-003                  9.3458283878204741E-003                  2.1159726600859697E-013                  8.1222143091854944E-014                 -5.4188136679376484E+000                  1.0106366417192787E+000                 -9.0668836720159174E+000                 -2.1111925321136908E+042                  4.0751913192574115E+035                 -2.1111839909128171E+042                 -2.1111925321136908E+042                  4.2324527840992040E+001                  1.3186583252728278E-011                                        0                                        0                  2.4064099999999999E+002 
